,page_no,surah_no,start_ayah_no
411,412,37,44
412,413,37,70
413,414,37,98
414,415,37,120
415,416,37,148
416,417,37,177
417,418,38,10
418,419,38,24
419,420,38,34
420,421,38,51
421,422,38,72
422,423,39,2
423,424,39,8
424,425,39,17
425,426,39,25
426,427,39,38
427,428,39,46
428,429,39,55
429,430,39,67
430,431,39,75
431,432,40,8
432,433,40,18
433,434,40,28
434,435,40,36
435,436,40,46
436,437,40,57
437,438,40,67
438,439,40,78
439,440,41,4
440,441,41,14
441,442,41,23
442,443,41,33
443,444,41,43
444,445,41,50
445,446,42,7
446,447,42,14
447,448,42,21
448,449,42,29
449,450,42,41
450,451,42,50
451,452,43,9
452,453,43,22
453,454,43,33
454,455,43,48
455,456,43,63
456,457,43,78
457,458,44,3
458,459,44,25
459,460,44,47
460,461,45,6
461,462,45,17
462,463,45,25
463,464,45,36
464,465,46,8
465,466,46,15
466,467,46,22
467,468,46,31
468,469,47,3
469,470,47,12
470,471,47,20
471,472,47,31
472,473,48,2
473,474,48,11
474,475,48,17
475,476,48,25
476,477,49,1
477,478,49,8
478,479,49,14
479,480,50,6
480,481,50,22
481,482,50,39
482,483,51,16
483,484,51,36
484,485,51,55
485,486,52,17
486,487,52,35
487,488,53,3
488,489,53,28
489,490,53,46
490,491,54,7
491,492,54,28
492,493,54,50
493,494,55,18
494,495,55,41
495,496,55,67
496,497,56,14
497,498,56,47
498,499,56,72
499,500,57,1
500,501,57,10
501,502,57,16
502,503,57,22
503,504,57,29
504,505,58,6
505,506,58,11
506,507,58,19
507,508,59,2
508,509,59,9
509,510,59,16
510,511,60,1
511,512,60,6
512,513,60,11
513,514,61,5
514,515,61,14
515,516,62,7
516,517,63,3
517,518,63,11
518,519,64,9
519,520,65,1
520,521,65,5
521,522,65,12
522,523,66,6
523,524,66,12
524,525,67,11
525,526,67,24
526,527,68,10
527,528,68,36
528,529,69,1
529,530,69,19
530,531,69,49
531,532,70,22
532,533,70,43
533,534,71,13
534,535,72,1
535,536,72,14
536,537,73,1
537,538,73,19
538,539,74,14
539,540,74,40
540,541,75,9
541,542,75,40
542,543,76,14
543,544,76,31
544,545,77,29
545,546,78,3
546,547,78,37
547,548,79,19
548,549,80,1
549,550,80,37
550,551,81,24
551,552,83,1
552,553,83,25
553,554,84,10
554,555,85,9
555,556,86,12
556,557,88,1
557,558,89,4
558,559,90,1
559,560,91,3
560,561,92,18
561,562,95,1
562,563,96,15
563,564,98,5
564,565,100,3
565,566,102,5
566,567,105,2
567,568,108,1
568,569,111,5
